subject	world	square_path	path_type	error_step	error_node
S16432	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S180888	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S185508	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(0,5);p(0,4);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S280055	cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(1,3);p(0,3);p(0,4);p(0,5);p(0,4);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S294201	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S319548	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S336295	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S37550	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S490917	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S553913	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S633374	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S776069	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S983809	cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	ERROR_PATH	(3,5)	N2825
S723916	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(1,5);p(0,5);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	ERROR_PATH	(0,4)	N7020
S737098	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	ERROR_PATH	(0,4)	N7020
S771420	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	ERROR_PATH	(0,4)	N7020
S156147	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S180888	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S235282	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S299579	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S311128	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S319548	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
